"Model","Mean_Deviance","SD_Deviance","Mean_SAE","SD_SAE","Mean_W_Component1","Mean_W_Component2","Mean_W_Component3","Mean_W_Component4"
"ElasticNet",132.941473023668,14.4413506238642,0.0869800693116744,0.039914901219122,0.12564281372355,0.186610824419229,0.303862561620305,0.383883800236917
"Lasso_L1",133.706728692515,14.4087890506713,0.0779033787968925,0.0345759438934468,0.12060008973421,0.188513827036529,0.30361159014832,0.387274493080941
"NWQS",60.7889094368431,6.67935765471061,0.0512661093805821,0.00917504924727131,0.118225215225478,0.194176430034579,0.297845127349987,0.389753227389955
"QGcomp",818.938839402879,59.0064839424599,0.139761886303821,0.082734804016247,0.125762553564105,0.153879650522445,0.319077000371289,0.401280795542161
"QGcomp_Spline",818.938839402879,59.0064839424599,NA,NA,0.0655292630471745,0.0808473525250901,0.331484963932559,0.522138420495176
"RandomForest",346.417361426449,11.6433628547911,0.0701487997175792,0.0346689023766658,0.12075700622652,0.182828067051739,0.313198835359037,0.383216091362704
"Ridge_OOB",139.383942439796,14.4022903134813,0.0711122311415671,0.0357909259500396,0.124053270431879,0.197211163924503,0.296632967947016,0.382102597696603
"gWQS",501.845432583955,32.9820304394457,0.141146417953385,0.0702266712064198,0.138037299073425,0.147003760621952,0.318395546365099,0.396563393939524
